,Unnamed: 0,participant_id,task_idx,task_status,participant_name,results_responses,results_rt,results_ind_previous,results_targetvalue,nb_blocks,result_commission_errors,result_clean_rt,HR-nb,HR-rt,result_nb_omission
10,10,72,3,PRE_TEST,YumaK,"['0', '1', '1', '1', '1', '0', '1', '0', '0', '0', '1', '1', '1', '0', '0', '0', '1', '0', '1', '1', '0', '0', '1', '0', '1', '0', '1', '0', '0', '0', '0', '1', '1', '1', '0', '1']","['', '483', '483', '500', '534', '', '549', '', '', '', '549', '550', '533', '', '', '', '500', '', '550', '517', '', '', '517', '', '500', '', '517', '', '', '', '', '534', '533', '467', '', '567']","['2', '6', '4', '1', '6', '6', '4', '0', '6', '4', '1', '0', '3', '2', '0', '1', '2', '1', '3', '3', '1', '4', '1', '1', '1', '0', '3', '5', '3', '3', '2', '2', '5', '4', '6', '1']","['9', '3', '3', '3', '3', '1', '3', '2', '8', '4', '3', '3', '3', '2', '9', '9', '3', '5', '3', '3', '1', '5', '3', '5', '3', '8', '3', '2', '6', '8', '5', '3', '3', '3', '1', '3']",36,0,"[0, 483, 483, 500, 534, 0, 549, 0, 0, 0, 549, 550, 533, 0, 0, 0, 500, 0, 550, 517, 0, 0, 517, 0, 500, 0, 517, 0, 0, 0, 0, 534, 533, 467, 0, 567]",36,521.2777777777778,0
11,11,72,3,POST_TEST,YumaK,"['1', '1', '0', '1', '1', '0', '0', '1', '0', '0', '1', '0', '0', '1', '0', '1', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1', '0', '0', '1', '1', '1', '1', '1', '0', '0', '0']","['650', '467', '', '450', '550', '', '', '483', '', '', '617', '', '', '567', '', '600', '', '', '600', '517', '', '', '633', '684', '', '549', '', '', '616', '566', '633', '533', '501', '', '', '']","['5', '6', '0', '2', '6', '6', '1', '2', '0', '7', '3', '4', '3', '1', '2', '5', '5', '3', '5', '2', '0', '6', '5', '5', '0', '7', '0', '7', '2', '1', '5', '4', '0', '2', '0', '1']","['3', '3', '4', '3', '3', '8', '2', '3', '1', '2', '3', '4', '5', '3', '5', '3', '5', '9', '3', '3', '8', '5', '3', '3', '6', '3', '1', '8', '3', '3', '3', '3', '3', '5', '5', '8']",36,0,"[650, 467, 0, 450, 550, 0, 0, 483, 0, 0, 617, 0, 0, 567, 0, 600, 0, 0, 600, 517, 0, 0, 633, 684, 0, 549, 0, 0, 616, 566, 633, 533, 501, 0, 0, 0]",36,567.5555555555555,0
12,12,82,3,PRE_TEST,narobin,"['1', '1', '1', '0', '0', '0', '1', '0', '0', '0', '0', '1', '1', '0', '0', '1', '0', '1', '0', '1', '1', '0', '0', '0', '0', '1', '1', '0', '1', '0', '1', '0', '0', '1', '0', '1']","['684', '516', '750', '', '', '', '667', '', '', '', '', '649', '600', '', '', '699', '', '568', '', '667', '650', '', '', '', '', '617', '617', '', '633', '', '650', '', '', '867', '', '651']","['1', '3', '2', '0', '3', '2', '4', '1', '2', '6', '2', '1', '1', '4', '6', '4', '4', '3', '0', '6', '1', '3', '2', '0', '2', '5', '5', '2', '6', '1', '2', '1', '5', '1', '1', '2']","['3', '3', '3', '5', '2', '2', '3', '9', '5', '6', '1', '3', '3', '3', '1', '3', '8', '3', '9', '3', '3', '8', '2', '6', '5', '3', '3', '1', '3', '2', '3', '5', '4', '3', '3', '3']",36,0,"[684, 516, 750, 0, 0, 0, 667, 0, 0, 0, 0, 649, 600, 0, 0, 699, 0, 568, 0, 667, 650, 0, 0, 0, 0, 617, 617, 0, 633, 0, 650, 0, 0, 867, 0, 651]",36,655.3125,2
13,13,82,3,POST_TEST,narobin,"['0', '1', '0', '1', '1', '1', '1', '0', '0', '1', '1', '0', '1', '1', '0', '1', '0', '1', '1', '0', '1', '0', '0', '1', '1', '0', '0', '0', '1', '1', '1', '0', '0', '0', '0', '0']","['', '517', '', '517', '534', '533', '566', '', '', '582', '634', '', '500', '717', '', '884', '', '500', '550', '', '551', '', '', '583', '517', '', '', '', '616', '683', '583', '', '', '', '', '']","['1', '0', '0', '1', '5', '5', '6', '6', '2', '4', '1', '1', '1', '3', '6', '0', '1', '5', '3', '5', '1', '1', '1', '0', '1', '5', '5', '5', '0', '1', '1', '1', '5', '6', '2', '2']","['5', '3', '9', '3', '3', '3', '3', '9', '5', '3', '3', '8', '3', '3', '4', '3', '6', '3', '3', '5', '3', '9', '8', '3', '3', '6', '9', '6', '3', '3', '3', '1', '2', '8', '9', '1']",36,0,"[0, 517, 0, 517, 534, 533, 566, 0, 0, 582, 634, 0, 500, 717, 0, 884, 0, 500, 550, 0, 551, 0, 0, 583, 517, 0, 0, 0, 616, 683, 583, 0, 0, 0, 0, 0]",36,587.0555555555555,0
14,14,85,3,PRE_TEST,horikawa.t,"['1', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1', '1', '0', '0', '0', '1', '1', '0', '1', '1', '1', '0', '1', '0', '0', '0', '0', '1', '1', '0', '1', '1', '0', '1', '1']","['450', '', '399', '', '', '434', '500', '', '', '', '', '500', '500', '', '', '', '650', '466', '', '584', '450', '465', '', '450', '', '', '', '', '466', '449', '', '483', '466', '', '416', '467']","['1', '1', '6', '1', '6', '5', '1', '6', '1', '5', '2', '2', '4', '0', '5', '1', '2', '4', '2', '1', '2', '6', '4', '4', '6', '0', '5', '6', '2', '4', '6', '3', '1', '6', '5', '2']","['3', '2', '3', '5', '4', '3', '3', '2', '6', '4', '5', '3', '3', '8', '6', '5', '3', '3', '6', '3', '3', '3', '8', '3', '1', '9', '5', '2', '3', '3', '1', '3', '3', '4', '3', '3']",36,0,"[450, 0, 399, 0, 0, 434, 500, 0, 0, 0, 0, 500, 500, 0, 0, 0, 650, 466, 0, 584, 450, 465, 0, 450, 0, 0, 0, 0, 466, 449, 0, 483, 466, 0, 416, 467]",36,477.5,0
15,15,85,3,POST_TEST,horikawa.t,"['0', '0', '1', '1', '0', '0', '1', '1', '1', '0', '0', '1', '0', '0', '1', '1', '0', '1', '0', '0', '1', '1', '0', '1', '1', '0', '0', '1', '1', '1', '0', '0', '0', '0', '1', '1']","['', '', '583', '416', '', '', '416', '433', '433', '', '', '416', '', '', '450', '483', '', '449', '', '', '433', '417', '', '449', '449', '', '', '484', '434', '450', '', '', '', '', '467', '516']","['0', '6', '1', '1', '1', '3', '2', '6', '1', '1', '5', '4', '0', '1', '5', '2', '6', '6', '2', '5', '3', '3', '5', '4', '6', '0', '6', '6', '4', '4', '2', '1', '3', '0', '4', '2']","['9', '4', '3', '3', '2', '4', '3', '3', '3', '4', '4', '3', '4', '1', '3', '3', '2', '3', '8', '5', '3', '3', '1', '3', '3', '4', '5', '3', '3', '3', '9', '9', '9', '4', '3', '3']",36,0,"[0, 0, 583, 416, 0, 0, 416, 433, 433, 0, 0, 416, 0, 0, 450, 483, 0, 449, 0, 0, 433, 417, 0, 449, 449, 0, 0, 484, 434, 450, 0, 0, 0, 0, 467, 516]",36,454.3333333333333,0
16,16,84,6,PRE_TEST,aperrier004,"['1', '0', '0', '0', '0', '1', '0', '1', '0', '0', '1', '1', '1', '0', '0', '1', '0', '0', '1', '1', '1', '1', '0', '0', '0', '1', '0', '1', '1', '1', '0', '0', '1', '1', '0', '1']","['451', '', '', '', '', '451', '', '475', '', '', '500', '500', '500', '', '', '425', '', '', '601', '550', '575', '653', '', '', '', '675', '', '525', '529', '600', '', '', '550', '601', '', '575']","['4', '4', '6', '4', '0', '6', '4', '2', '0', '5', '3', '6', '4', '2', '6', '3', '2', '5', '6', '5', '6', '0', '0', '2', '3', '3', '6', '4', '0', '1', '4', '1', '3', '5', '4', '5']","['3', '5', '1', '2', '8', '3', '4', '3', '1', '6', '3', '3', '3', '4', '5', '3', '8', '1', '3', '3', '3', '3', '2', '1', '6', '3', '2', '3', '3', '3', '5', '5', '3', '3', '2', '3']",36,0,"[451, 0, 0, 0, 0, 451, 0, 475, 0, 0, 500, 500, 500, 0, 0, 425, 0, 0, 601, 550, 575, 653, 0, 0, 0, 675, 0, 525, 529, 600, 0, 0, 550, 601, 0, 575]",36,540.8888888888889,0
17,17,84,6,POST_TEST,aperrier004,"['0', '0', '1', '1', '0', '1', '1', '1', '1', '0', '0', '1', '1', '0', '1', '0', '0', '1', '1', '1', '0', '0', '0', '1', '0', '1', '0', '1', '0', '1', '0', '1', '0', '0', '1', '0']","['', '', '525', '525', '', '500', '476', '675', '701', '', '', '473', '898', '', '475', '', '', '650', '575', '499', '', '', '', '774', '', '601', '', '525', '', '699', '', '625', '', '', '625', '']","['5', '0', '1', '2', '0', '0', '3', '4', '1', '6', '1', '4', '3', '1', '3', '6', '4', '6', '0', '3', '1', '2', '1', '0', '2', '1', '2', '4', '0', '2', '3', '1', '0', '3', '4', '5']","['6', '9', '3', '3', '6', '3', '3', '3', '3', '4', '9', '3', '3', '5', '3', '4', '4', '3', '3', '3', '9', '2', '2', '3', '5', '3', '8', '3', '8', '3', '4', '3', '5', '8', '3', '1']",36,0,"[0, 0, 525, 525, 0, 500, 476, 675, 701, 0, 0, 473, 898, 0, 475, 0, 0, 650, 575, 499, 0, 0, 0, 774, 0, 601, 0, 525, 0, 699, 0, 625, 0, 0, 625, 0]",36,601.1666666666666,0
18,18,87,7,PRE_TEST,hsini.liao,"['0', '0', '1', '1', '0', '1', '1', '1', '0', '0', '1', '1', '0', '0', '1', '0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '0', '1', '1', '0', '1', '0', '0', '1', '0', '1', '0']","['', '', '384', '399', '', '482', '416', '434', '', '', '450', '450', '', '', '450', '', '500', '', '', '', '467', '484', '', '', '467', '', '534', '434', '', '467', '', '', '450', '', '483', '']","['1', '3', '1', '4', '1', '6', '0', '6', '4', '5', '3', '6', '6', '1', '4', '2', '0', '1', '0', '3', '3', '1', '0', '3', '2', '1', '1', '2', '5', '1', '3', '1', '3', '0', '1', '0']","['8', '2', '3', '3', '5', '3', '3', '3', '1', '4', '3', '3', '9', '6', '3', '8', '3', '3', '1', '8', '3', '3', '1', '1', '3', '1', '3', '3', '5', '3', '9', '8', '3', '2', '3', '5']",36,0,"[0, 0, 384, 399, 0, 482, 416, 434, 0, 0, 450, 450, 0, 0, 450, 0, 500, 0, 0, 0, 467, 484, 0, 0, 467, 0, 534, 434, 0, 467, 0, 0, 450, 0, 483, 0]",36,455.94117647058823,1
19,19,87,7,POST_TEST,hsini.liao,"['1', '0', '1', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '1', '0', '0', '1', '1', '1', '0', '0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '1', '1', '1', '0', '1']","['416', '', '450', '', '', '500', '', '', '468', '548', '', '', '', '467', '', '', '533', '517', '500', '', '', '467', '', '', '', '467', '433', '', '', '500', '433', '533', '484', '484', '', '499']","['4', '4', '3', '6', '0', '1', '3', '5', '1', '1', '1', '1', '1', '1', '5', '1', '4', '0', '1', '5', '0', '4', '1', '3', '2', '4', '2', '3', '1', '4', '4', '1', '2', '1', '0', '5']","['3', '1', '3', '9', '1', '3', '9', '6', '3', '3', '6', '2', '4', '3', '1', '1', '3', '3', '3', '2', '5', '3', '4', '1', '9', '3', '3', '1', '5', '3', '3', '3', '3', '3', '8', '3']",36,0,"[416, 0, 450, 0, 0, 500, 0, 0, 468, 548, 0, 0, 0, 467, 0, 0, 533, 517, 500, 0, 0, 467, 0, 0, 0, 467, 433, 0, 0, 500, 433, 533, 484, 484, 0, 499]",36,483.27777777777777,0
20,20,90,3,PRE_TEST,Thomik,"['0', '0', '1', '1', '0', '0', '1', '0', '1', '1', '0', '1', '0', '0', '0', '1', '1', '1', '1', '0', '1', '0', '1', '1', '0', '1', '0', '0', '1', '0', '0', '0', '1', '1', '0', '0']","['', '', '600', '567', '', '', '633', '', '734', '600', '', '601', '', '', '', '667', '600', '633', '633', '', '634', '', '733', '600', '', '634', '', '', '700', '', '', '', '617', '633', '', '']","['6', '4', '6', '5', '3', '3', '6', '3', '6', '5', '2', '6', '0', '1', '3', '0', '6', '3', '5', '5', '2', '6', '5', '5', '5', '5', '3', '4', '1', '3', '0', '3', '5', '3', '5', '2']","['6', '1', '3', '3', '4', '6', '3', '1', '3', '3', '5', '3', '5', '2', '8', '3', '3', '3', '3', '2', '3', '5', '3', '3', '3', '3', '2', '8', '3', '1', '8', '8', '3', '3', '1', '4']",36,0,"[0, 0, 600, 567, 0, 0, 633, 0, 734, 600, 0, 601, 0, 0, 0, 667, 600, 633, 633, 0, 634, 0, 733, 600, 0, 634, 0, 0, 700, 0, 0, 0, 617, 633, 0, 0]",36,636.4117647058823,1
21,21,90,3,POST_TEST,Thomik,"['1', '1', '1', '0', '0', '1', '1', '0', '0', '1', '0', '0', '0', '0', '1', '1', '1', '0', '0', '0', '1', '0', '1', '0', '1', '1', '1', '0', '0', '1', '1', '0', '1', '1', '0', '0']","['534', '566', '583', '', '', '550', '599', '', '', '567', '', '', '', '', '583', '600', '567', '', '', '', '534', '', '600', '', '667', '600', '517', '', '', '900', '517', '', '583', '584', '', '']","['0', '3', '0', '1', '0', '5', '4', '5', '6', '6', '6', '0', '6', '1', '4', '4', '1', '4', '2', '6', '5', '4', '6', '1', '2', '6', '3', '0', '4', '5', '1', '0', '2', '3', '6', '4']","['3', '3', '3', '4', '9', '3', '3', '2', '1', '3', '5', '1', '4', '4', '3', '3', '3', '1', '4', '4', '3', '2', '3', '6', '3', '3', '3', '9', '8', '3', '3', '2', '3', '3', '4', '6']",36,0,"[534, 566, 583, 0, 0, 550, 599, 0, 0, 567, 0, 0, 0, 0, 583, 600, 567, 0, 0, 0, 534, 0, 600, 0, 667, 600, 517, 0, 0, 900, 517, 0, 583, 584, 0, 0]",36,591.7222222222222,0
22,22,96,6,PRE_TEST,MathildeCAZES,"['0', '1', '1', '0', '0', '1', '0', '1', '1', '1', '0', '1', '1', '1', '0', '0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '1', '0', '1', '1', '0', '0', '0', '0', '0', '0']","['', '500', '499', '', '', '583', '', '566', '548', '733', '', '615', '665', '565', '', '', '499', '', '', '', '599', '615', '', '', '664', '649', '532', '', '515', '533', '', '', '', '', '', '']","['6', '5', '2', '6', '2', '5', '4', '4', '3', '5', '4', '6', '6', '5', '0', '2', '5', '6', '1', '6', '6', '3', '5', '6', '1', '6', '3', '4', '0', '2', '0', '2', '3', '4', '5', '1']","['9', '3', '3', '8', '6', '3', '5', '3', '3', '3', '9', '3', '3', '3', '6', '4', '3', '5', '1', '6', '3', '3', '4', '2', '3', '3', '3', '4', '3', '3', '3', '5', '2', '5', '1', '1']",36,0,"[0, 500, 499, 0, 0, 583, 0, 566, 548, 733, 0, 615, 665, 565, 0, 0, 499, 0, 0, 0, 599, 615, 0, 0, 664, 649, 532, 0, 515, 533, 0, 0, 0, 0, 0, 0]",36,581.1764705882352,1
23,23,96,6,POST_TEST,MathildeCAZES,"['0', '0', '1', '0', '0', '1', '1', '1', '0', '1', '1', '0', '1', '0', '1', '0', '0', '1', '1', '1', '0', '0', '1', '1', '0', '0', '1', '0', '0', '1', '1', '1', '0', '1', '0', '0']","['', '', '464', '', '', '483', '582', '500', '', '515', '565', '', '482', '', '515', '', '', '498', '582', '532', '', '', '698', '482', '', '', '532', '', '', '599', '565', '548', '', '581', '', '']","['4', '2', '6', '4', '5', '5', '2', '5', '3', '5', '1', '5', '1', '6', '3', '1', '1', '5', '0', '2', '5', '5', '5', '5', '1', '4', '0', '6', '4', '6', '0', '4', '5', '6', '1', '0']","['9', '8', '3', '1', '5', '3', '3', '3', '5', '3', '3', '9', '3', '6', '3', '9', '2', '3', '3', '3', '6', '6', '3', '3', '8', '8', '3', '8', '4', '3', '3', '3', '4', '3', '9', '2']",36,0,"[0, 0, 464, 0, 0, 483, 582, 500, 0, 515, 565, 0, 482, 0, 515, 0, 0, 498, 582, 532, 0, 0, 698, 482, 0, 0, 532, 0, 0, 599, 565, 548, 0, 581, 0, 0]",36,540.1666666666666,0
